"id","name","code","region","created_at","updated_at"
"1","Chitipa","CP","Northern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"2","Karonga","KA","Northern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"3","Rumphi","RU","Northern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"4","Nkhatabay","NB","Northern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"5","Likoma","LA","Northern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"6","Mzimba","MZ","Northern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"7","Kasungu","KU","Central","2019-02-12 07:06:14","2019-02-12 07:06:14"
"8","Nkhotakota","KK","Central","2019-02-12 07:06:14","2019-02-12 07:06:14"
"9","Ntchisi","NS","Central","2019-02-12 07:06:14","2019-02-12 07:06:14"
"10","Dowa","DA","Central","2019-02-12 07:06:14","2019-02-12 07:06:14"
"11","Salima","SA","Central","2019-02-12 07:06:14","2019-02-12 07:06:14"
"12","Mchinji","MC","Central","2019-02-12 07:06:14","2019-02-12 07:06:14"
"13","Lilongwe","LL","Central","2019-02-12 07:06:14","2019-02-12 07:06:14"
"14","Dedza","DZ","Central","2019-02-12 07:06:14","2019-02-12 07:06:14"
"15","Ntcheu","NU","Central","2019-02-12 07:06:14","2019-02-12 07:06:14"
"16","Mangochi","MH","Eastern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"17","Balaka","BLK","Eastern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"18","Machinga","MHG","Eastern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"19","Zomba","ZA","Southern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"20","Chiradzulu","CZ","Southern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"21","Blantyre","BT","Southern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"22","Mwanza","MN","Southern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"23","Neno","NN","Southern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"24","Thyolo","TO","Southern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"25","Phalombe","PE","Northern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"26","Mulanje","MJ","Southern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"27","Chikwawa","CK","Southern","2019-02-12 07:06:14","2019-02-12 07:06:14"
"28","Nsanje","NE","Southern","2019-02-12 07:06:14","2019-02-12 07:06:14"
